,単語,ネガポジ値
0,あがく,-1
1,あきらめる,-1
2,あきる,-1
3,あきれる,-1
4,あきれるた,-1
5,あせる,-1
6,あなどる,-1
7,あやしむ,-1
8,あやぶむ,-1
9,あやまる,-1
10,あらそう,-1
11,あわてる,-1
12,いたたまれない,-1
13,いたむ,-1
14,いつわる,-1
15,いらだたしい,-1
16,いら立つ,-1
17,うつうつ,-1
18,うなだれる,-1
19,うなる,-1
20,うらむ,-1
21,うんざり,-1
22,おちいる,-1
23,おぼれる,-1
24,かさばる,-1
25,かなうない,-1
26,かなしむ,-1
27,がたつく,-1
28,がっくり,-1
29,くさる,-1
30,くずれる,-1
31,くたびれる,-1
32,くやむ,-1
33,くるしむ,-1
34,けだるい,-1
35,こじらせる,-1
36,こそばゆい,-1
37,こたえるられるない,-1
38,こぼす,-1
39,こまる,-1
40,こりる,-1
41,こわされる,-1
42,さじを投げる,-1
43,しかられる,-1
44,しくじる,-1
45,しょぼくれるた,-1
46,しょんぼり,-1
47,しんみり,-1
48,せんない,-1
49,たおれる,-1
50,ためらう,-1
51,だますれる,-1
52,だます,-1
53,だれる,-1
54,ちがう,-1
55,つぶす,-1
56,つぶれる,-1
57,つまずく,-1
58,つらい,-1
59,とがめる,-1
60,なやむ,-1
61,ねじれる,-1
62,のぼせる,-1
63,はげる,-1
64,はずかしい,-1
65,ばつが悪い,-1
66,ひきつる,-1
67,ひっかかる,-1
68,ひもじい,-1
69,びびる,-1
70,ふらつく,-1
71,ぶつかる,-1
72,ぶれる,-1
73,ぼける,-1
74,ぼけるた,-1
75,まごつく,-1
76,むかっと,-1
77,むかつく,-1
78,むせる,-1
79,むせ返る,-1
80,めくられる,-1
81,もたつく,-1
82,もだえる,-1
83,もつれる,-1
84,もてあます,-1
85,やつれる,-1
86,やむない,-1
87,やむをえない,-1
88,ゆがむ,-1
89,ゆきづまる,-1
90,よごす,-1
91,よごれる,-1
92,わすれる,-1
93,ガックリ,-1
94,ストレスがある,-1
95,ツライ,-1
96,ビビる,-1
97,ポシャる,-1
98,阿鼻叫喚だ,-1
99,阿鼻叫喚です,-1
100,阿鼻叫喚と,-1
101,阿鼻叫喚の,-1
102,意気消沈,-1
103,引っ掛かる,-1
104,引っ繰り返る,-1
105,厭う,-1
106,怨む,-1
107,汚される,-1
108,汚す,-1
109,汚れる,-1
110,臆する,-1
111,臆病風に吹かれる,-1
112,苛だつ,-1
113,苛つく,-1
114,苛苛する,-1
115,苛立つ,-1
116,我慢しきれない,-1
117,我慢する,-1
118,我慢ならない,-1
119,餓える,-1
120,壊される,-1
121,壊れる,-1
122,怪しむ,-1
123,悔しい,-1
124,悔やむ,-1
125,恰好がつかない,-1
126,渇く,-1
127,堪えがたい,-1
128,堪える,-1
129,堪え難い,-1
